"filename", "language", "JSON", "YAML", "Markdown", "C++", "Swift", "Dart", "XML", "Ruby", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\basePage.dart", "Dart", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 4, 25, 205
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\buyTicketPage.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 13, 20, 154
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventDetails.dart", "Dart", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 13, 14, 257
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\home_page.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 10, 17, 154
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\checkTheAccessToEvent.dart", "Dart", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 5, 34, 145
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\accessToEvent\scanner.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 21, 71
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\editHostProfile.dart", "Dart", 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 17, 29, 252
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\eventCreationScreen.dart", "Dart", 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 31, 84, 462
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostAnalytics.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostProfile.dart", "Dart", 0, 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 9, 44, 369
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\selectEventForAction.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 14, 29, 120
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\confirm_identity_page.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\finish_user_setup.dart", "Dart", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 19, 20, 203
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\hostSignUp.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 1, 18, 153
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\landing_page.dart", "Dart", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 5, 22, 158
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\loginSignupPage.dart", "Dart", 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 32, 73, 433
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\login_fucntions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpScreen2.dart", "Dart", 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 70, 44, 447
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signedin_logic.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 4, 34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\verify_email_page.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\socialPage.dart", "Dart", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 109, 51, 502
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile.dart", "Dart", 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 5, 53, 455
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 13, 27, 232
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_settings.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart", "Dart", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 98, 36, 253
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 10, 59, 154
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\korazonSingUPLogo.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 3, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\models\eventModel.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 11, 21, 79
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\models\userModel.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 12, 79
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 23, 41, 198
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\allowGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 10, 61
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\denyGuestIntoPartyButton.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\tickCrossAccess.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\alertBox.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 2, 71
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\confirmationMessage.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 29, 2, 73
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\eventCard.dart", "Dart", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 13, 19, 211
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\followButton.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\gradient_border_button.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 11, 74
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\loading_place_holders.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\pickDateTime.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 10, 49
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\profileEventCard.dart", "Dart", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 7, 14, 157
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\profileListTile.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 8, 44
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\qrcodeImage.dart", "Dart", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 2, 19, 95
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\selectEventCard.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 7, 35, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\textfield.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\togglebutton.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.cc", "C++", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 10, 44
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\oldScreens\loginSignupPage.dart", "Dart", 0, 0, 0, 0, 0, 324, 0, 0, 0, 0, 0, 63, 80, 467
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\package-lock.json", "JSON", 2807, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2808
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\package.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 6, 5, 90
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml", "YAML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 10, 112
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 15, 5, 43
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 3184, 55, 48, 565, 70, 5952, 482, 66, 102, 70, 8, 1053, 1448, 13103
