Date : 2024-12-31 19:44:52
Directory : c:\Users\mcast\Documents\programming\flutter_projects\korazon
Total : 86 files,  14022 codes, 571 comments, 701 blanks, all 15294 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\AndroidManifest.xml                      | XML        |         41 |         11 |          1 |         53 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\app\src\profile\AndroidManifest.xml                   | XML        |          3 |          4 |          1 |          8 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\build.gradle                                          | Gradle     |         16 |          0 |          3 |         19 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          0 |          1 |          6 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\android\settings.gradle                                       | Gradle     |         22 |          2 |          5 |         29 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\devtools_options.yaml                                         | YAML       |          3 |          0 |          1 |          4 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\firebase.json                                                 | JSON       |         59 |          0 |          1 |         60 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\.eslintrc.js                                        | JavaScript |         28 |          0 |          1 |         29 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\index.js                                            | JavaScript |         19 |         56 |         13 |         88 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\package-lock.json                                   | JSON       |      7,369 |          0 |          1 |      7,370 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\functions\package.json                                        | JSON       |         27 |          0 |          1 |         28 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Podfile                                                   | Ruby       |         33 |          2 |         10 |         45 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\RunnerTests\RunnerTests.swift                             | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         28 |          1 |          1 |         30 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\firebase_options.dart                                     | Dart       |         59 |         12 |          5 |         76 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\main.dart                                                 | Dart       |         34 |          6 |          7 |         47 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\authentication.dart                    | Dart       |         90 |         12 |         22 |        124 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\firestore_methods.dart                 | Dart       |         40 |          5 |          8 |         53 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\signedin_logic.dart                    | Dart       |         29 |          2 |          4 |         35 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\cloudresources\storage_methods.dart                   | Dart       |         45 |          1 |         13 |         59 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\event.dart                                | Dart       |         44 |          2 |          8 |         54 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\models\user.dart                                 | Dart       |         58 |          1 |          6 |         65 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\data\providers\user_provider.dart                     | Dart       |         19 |         12 |          6 |         37 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\basePage.dart                                 | Dart       |        146 |          4 |         21 |        171 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\buyTicketPage.dart                            | Dart       |         65 |          5 |         15 |         85 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventCreationScreen.dart                      | Dart       |        210 |         11 |         18 |        239 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventDetails.dart                             | Dart       |         65 |          0 |         11 |         76 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\eventcreation_screen.dart                     | Dart       |        259 |         20 |         43 |        322 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\home_page.dart                                | Dart       |         72 |          1 |         28 |        101 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\login_screen.dart                             | Dart       |        111 |          3 |         21 |        135 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\scanner.dart                                  | Dart       |         39 |         10 |         18 |         67 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\signup_screen.dart                            | Dart       |        161 |          0 |         28 |        189 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\socialPage.dart                               | Dart       |         10 |          0 |          2 |         12 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\splashScreen.dart                             | Dart       |         15 |          0 |          2 |         17 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userAccessToEvent.dart                        | Dart       |         25 |          0 |          7 |         32 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\user_profile_screen.dart                      | Dart       |         66 |          4 |         15 |         85 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart                       | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart                                  | Dart       |         28 |          1 |          3 |         32 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\event_card.dart                               | Dart       |        182 |         98 |         16 |        296 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\postCard.dart                                 | Dart       |         77 |          3 |         26 |        106 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\textfield.dart                                | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\togglebutton.dart                             | Dart       |         53 |          0 |          6 |         59 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc                  | C++        |          7 |          4 |          5 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.cc                                       | C++        |         82 |         17 |         26 |        125 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         20 |          3 |          4 |         27 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Podfile                                                 | Ruby       |         33 |          1 |         10 |         44 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\RunnerTests\RunnerTests.swift                           | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\package-lock.json                                             | JSON       |      2,807 |          0 |          1 |      2,808 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\package.json                                                  | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml                                                  | YAML       |         32 |         53 |          8 |         93 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html                                                | HTML       |         19 |         15 |          5 |         39 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc                | C++        |         18 |          4 |          5 |         27 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.cpp                             | C++        |         49 |          7 |         16 |         72 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.cpp                                      | C++        |         54 |          2 |         10 |         66 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                       |            |     14,022 |        571 |        701 |     15,294 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
