Date : 2025-01-15 19:31:15
Directory : c:\Users\mcast\Documents\programming\flutter_projects\korazon
Total : 95 files,  8592 codes, 636 comments, 1021 blanks, all 10249 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\editHostProfile.dart                     | Dart       |        206 |         17 |         29 |        252 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\eventCreationScreen.dart                 | Dart       |        346 |         31 |         84 |        461 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostAnalytics.dart                       | Dart       |         15 |          0 |          2 |         17 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\hostProfile.dart                         | Dart       |        316 |         12 |         42 |        370 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\hostscreens\selectEventForAction.dart                | Dart       |         75 |         14 |         27 |        116 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\hostSignUp.dart                          | Dart       |        134 |          1 |         18 |        153 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpLogin.dart                         | Dart       |        324 |         63 |         80 |        467 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\singUpLogin\signUpScreen2.dart                       | Dart       |        296 |         10 |         36 |        342 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\user_profile_screen.dart                 | Dart       |        162 |         17 |         23 |        202 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\screens\userscreens\yourEvents.dart                          | Dart       |        102 |         13 |         24 |        139 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\design_variables.dart                              | Dart       |         22 |          5 |         11 |         38 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\korazonSingUPLogo.dart                             | Dart       |         57 |          1 |          3 |         61 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\utilities\utils.dart                                         | Dart       |         88 |         19 |         24 |        131 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\allowGuestIntoPartyButton.dart  | Dart       |         45 |          5 |         10 |         60 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\denyGuestIntoPartyButton.dart   | Dart       |         31 |          0 |          4 |         35 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\accessToEventWidgets\tickCrossAccess.dart            | Dart       |         36 |          0 |          6 |         42 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\alertBox.dart                                        | Dart       |         57 |          0 |          2 |         59 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\eventCard.dart                                       | Dart       |        169 |         13 |         14 |        196 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\followButton.dart                                    | Dart       |         45 |          0 |          3 |         48 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\pickDateTime.dart                                    | Dart       |         33 |          6 |         10 |         49 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\selectEventCard.dart                                 | Dart       |         82 |          8 |         35 |        125 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\textfield.dart                                       | Dart       |         33 |          0 |          4 |         37 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\lib\src\widgets\togglebutton.dart                                    | Dart       |         53 |          0 |          6 |         59 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.cc                         | C++        |         11 |          4 |          5 |         20 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\flutter\generated_plugin_registrant.h                          | C++        |          5 |          5 |          6 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\main.cc                                                        | C++        |          5 |          0 |          2 |          7 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.cc                                              | C++        |         82 |         17 |         26 |        125 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\linux\my_application.h                                               | C++        |          7 |          7 |          5 |         19 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Flutter\GeneratedPluginRegistrant.swift                        | Swift      |         22 |          3 |          4 |         29 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Podfile                                                        | Ruby       |         33 |          1 |         10 |         44 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\RunnerTests\RunnerTests.swift                                  | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\AppDelegate.swift                                       | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\Base.lproj\MainMenu.xib                                 | XML        |        343 |          0 |          1 |        344 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\macos\Runner\MainFlutterWindow.swift                                 | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\package-lock.json                                                    | JSON       |      2,807 |          0 |          1 |      2,808 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\package.json                                                         | JSON       |          7 |          0 |          1 |          8 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\public\index.html                                                    | HTML       |         79 |          6 |          5 |         90 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\pubspec.yaml                                                         | YAML       |         41 |         53 |         10 |        104 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\test\widget_test.dart                                                | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\index.html                                                       | HTML       |         23 |         15 |          5 |         43 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\web\manifest.json                                                    | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.cc                       | C++        |         21 |          4 |          5 |         30 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\flutter\generated_plugin_registrant.h                        | C++        |          5 |          5 |          6 |         16 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.cpp                                    | C++        |         49 |          7 |         16 |         72 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\flutter_window.h                                      | C++        |         20 |          5 |          9 |         34 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\main.cpp                                              | C++        |         30 |          4 |         10 |         44 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\resource.h                                            | C++        |          9 |          6 |          2 |         17 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.cpp                                             | C++        |         54 |          2 |         10 |         66 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\utils.h                                               | C++        |          8 |          6 |          6 |         20 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.cpp                                      | C++        |        210 |         24 |         55 |        289 |
| c:\Users\mcast\Documents\programming\flutter_projects\korazon\windows\runner\win32_window.h                                        | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                              |            |      8,592 |        636 |      1,021 |     10,249 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
